Ian Thorpe, Australia,107.2
Pieter van den Hoogenband, Netherlands,107.3
Emiliano Brembilla, Italy,108.0
Klete Keller, United States,108.0
Michael Phelps, United States,108.4
Simon Burnett, Great Britain,108.7
Grant Hackett, Australia,108.9
Jens Schreiber, Germany,109.0
Kvìtoslav Svoboda, Czech Republic,109.3
Rick Say, Canada,109.3
Dominik Meichtry, Switzerland,109.5
George Bovell, Trinidad and Tobago,109.5
Yoshihiro Okumura, Japan,109.5
Brent Hayden, Canada,109.6
Andreas Zisimos, Greece,109.6
Andrey Kapralov, Russia,109.9
Olaf Wildeboer, Spain,110.0
Jacob Carstensen, Denmark,110.2
Stefan Herbst, Germany,110.2
Rodrigo Castro, Brazil,110.3
Saulius Binevièius, Lithuania,110.5
Peter Mankoè, Slovenia,110.7
Romans Miloslavskis, Latvia,110.8
Maksim Kuznetsov, Russia,110.9
Nicolas Rostoucher, France,111.0
Dominik Koll, Austria,111.4
Dmytro Vereitinov, Ukraine,111.4
Joshua Ilika Brenner, Mexico,111.7
Luís Monteiro, Portugal,111.8
£ukasz Drzewiñski, Poland,111.9
Mihail Alexandrov, Bulgaria,112.1
Tamás Szûcs, Hungary,112.3
Han Kyu-chul, South Korea,112.3
Damian Alleyne, Barbados,112.9
Aleksandar Malenko, Macedonia,113.0
Mahrez Mebarek, Algeria,113.0
Yahor Salabutau, Belarus,113.0
Albert Subirats, Venezuela,113.1
Giancarlo Zolezzi, Chile,113.2
Juan Martín Pereyra, Argentina,113.2
Shaune Fraser, Cayman Islands,113.2
Miguel Molina, Philippines,113.8
Zhang Lin, China,113.8
Alexandros Aresti, Cyprus,113.9
Martín Kutscher, Uruguay,113.9
Andrea Beccari, Italy,114.0
Chen Te-tung, Chinese Taipei,114.1
Igor Erhartiæ, Serbia and Montenegro,114.2
ªtefan Pinciuc, Moldova,114.6
Anouar Ben Naceur, Tunisia,114.7
Mark Chay, Singapore,114.7
Aytekin Mindan, Turkey,115.7
Adil Bellaz, Morocco,115.8
Mario Delaè, Croatia,115.8
Vitaliy Khan, Kazakhstan,116.1
Diego Mularoni, San Marino,116.2
Petr Vasiliev, Uzbekistan,116.9
Zurab Khomasuridze, Georgia,118.0
Ruslan Ismailov, Kyrgyzstan,121.5
