Dana Vollmer, United States,119.5
Claudia Poll, Costa Rica,119.5
Paulina Barzycka, Poland,119.5
Federica Pellegrini, Italy,119.8
Solenne Figues, France,119.9
Josefin Lillhage, Sweden,120.0
Elka Graham, Australia,120.1
Lindsay Benko, United States,120.2
Franziska van Almsick, Germany,120.2
Melanie Marshall, Great Britain,120.5
Camelia Potec, Romania,120.5
Alena Popchanka, Belarus,120.7
Tomoko Nagai, Japan,120.7
Pang Jiaying, China,120.8
Martina Moravcová, Slovakia,121.0
Yang Yu, China,121.3
Brittany Reimer, Canada,121.4
Sara Isakoviæ, Slovenia,121.7
Linda Mackenzie, Australia,122.0
Sara Harstick, Germany,122.3
Nataliya Shalagina, Russia,122.4
Olena Lapunova, Ukraine,122.7
Mariana Brochado, Brazil,122.9
Hanna Miluska, Switzerland,123.3
Florencia Szigeti, Argentina,123.3
Kim Hyun-joo, South Korea,123.3
Zoi Dimoschaki, Greece,123.4
Elina Partoka, Estonia,123.5
Alison Fitch, New Zealand,123.6
Janelle Atkinson, Jamaica,124.1
Katinka Hosszú, Hungary,124.2
Petra Banoviæ, Croatia,124.2
Jana Myšková, Czech Republic,124.6
Vesna Stojanovska, Macedonia,124.6
Pilin Tachakittiranan, Thailand,125.3
Yang Chin-kuei, Chinese Taipei,125.7
Louise Mai Jansen, Denmark,126.1
Larisa Lãcustã, Romania,126.6
Sze Hang Yu, Hong Kong,127.6
Khadija Ciss, Senegal,129.0
Yuliya Rissik, Kazakhstan,129.9
